Iteration	Posterior	Likelihood	Prior	rate_log_sd	rate_loss	root_freqs[1]	root_freqs[2]	tree_length
0	-2667.711	-3288.924	621.2125	1.559186	1.122827	0.663761	0.336239	4.020727
6	-2657.949	-3279.515	621.5654	1.59737	1.19084	0.636783	0.363217	3.761356
12	-2672.178	-3292.86	620.6817	1.637644	1.21878	0.606061	0.393939	4.229615
18	-2678.316	-3300.312	621.9968	1.665547	1.21878	0.684068	0.315932	3.457265
24	-2643.998	-3263.455	619.4569	1.407258	1.440149	0.757039	0.242961	4.946139
30	-2676.109	-3297.207	621.0984	1.764453	1.217537	0.647777	0.352223	3.92044
36	-2675.445	-3296.843	621.3982	1.755356	1.199589	0.728412	0.271588	3.762273
42	-2666.189	-3285.227	619.0374	1.482117	1.446929	0.688385	0.311615	5.13455
48	-2679.393	-3300.026	620.6328	1.688437	1.317063	0.691083	0.308917	4.181903
54	-2685.725	-3306.086	620.3605	1.571469	1.518409	0.73465	0.26535	4.314911
60	-2680.069	-3301.866	621.7962	1.611484	1.455462	0.669366	0.330634	3.49493
66	-2686.739	-3306.732	619.9932	1.688024	2.125104	0.758964	0.241036	4.238668
72	-2669.388	-3288.568	619.1805	1.533882	1.568516	0.566263	0.433737	4.977085
78	-2662.031	-3280.503	618.4721	1.494636	1.734967	0.566263	0.433737	5.328271
84	-2676.188	-3297.587	621.399	1.865529	1.363593	0.673359	0.326641	3.619388
90	-2661.059	-3282.527	621.4682	1.896196	1.866321	0.694316	0.305684	3.356538
96	-2672.299	-3294.415	622.116	1.789104	1.728867	0.775305	0.224695	3.088369
102	-2668.012	-3290.095	622.0825	1.679834	1.586706	0.688624	0.311376	3.230621
108	-2666.195	-3287.05	620.8543	1.658721	1.711119	0.790598	0.209402	3.907975
114	-2668.216	-3289.099	620.883	1.693764	1.460474	0.690007	0.309993	3.972533
120	-2654.507	-3275.449	620.9413	1.681627	1.460474	0.612218	0.387782	3.946127
126	-2652.972	-3273.643	620.6711	1.648682	1.910705	0.764213	0.235787	3.946127
132	-2667.225	-3287.984	620.7597	1.709459	1.626015	0.717004	0.282996	3.966036
138	-2666.042	-3286.766	620.7243	1.680326	1.721759	0.625543	0.374457	3.966036
144	-2683.812	-3304.159	620.3464	1.683298	1.134371	0.638373	0.361627	4.435505
150	-2668.837	-3288.802	619.9643	1.553482	2.128142	0.633323	0.366677	4.330201
156	-2670.465	-3291.593	621.1285	1.719239	1.777272	0.72904	0.27096	3.690348
162	-2688.209	-3308.919	620.7104	1.719363	1.452693	0.686213	0.313787	4.059872
168	-2675.506	-3295.975	620.4691	1.840435	1.896861	0.676368	0.323632	3.956813
174	-2673.545	-3294.139	620.5933	1.863882	1.329754	0.699765	0.300235	4.098754
180	-2688.268	-3309.538	621.2698	1.873922	1.435065	0.702849	0.297151	3.657352
186	-2700.376	-3321.384	621.0079	1.708852	1.590874	0.717123	0.282877	3.838057
192	-2672.057	-3293.181	621.1246	1.761925	1.185684	0.663385	0.336615	3.922769
198	-2667.294	-3287.083	619.789	1.492476	1.106531	0.624046	0.375954	4.869066
204	-2666.683	-3287.084	620.4007	1.501745	1.369098	0.633296	0.366704	4.39537
210	-2668.675	-3289.236	620.5613	1.493981	1.105569	0.683649	0.316351	4.435995
216	-2643.747	-3264.436	620.689	1.577775	1.497671	0.685088	0.314912	4.133602
222	-2634.296	-3255.984	621.6879	1.789144	1.365319	0.683041	0.316959	3.494945
228	-2645.835	-3266.452	620.6178	1.7948	1.620033	0.543237	0.456763	4.000782
234	-2668.294	-3289.234	620.94	1.70654	1.308035	0.590701	0.409299	4.000782
240	-2666.445	-3287.624	621.1784	1.633159	1.2094	0.672879	0.327121	3.953833
246	-2672.146	-3292.637	620.4915	1.830074	1.2094	0.679808	0.320192	4.232937
252	-2665.375	-3284.751	619.3761	1.727547	1.315704	0.704772	0.295228	4.867136
258	-2652.607	-3272.149	619.5414	1.592718	1.278575	0.725916	0.274084	4.867136
264	-2660.248	-3279.477	619.2294	1.671459	1.672626	0.660637	0.339363	4.833159
270	-2651.855	-3271.586	619.731	1.710196	1.402525	0.660918	0.339082	4.640081
276	-2648.625	-3268.778	620.1522	1.718163	1.586907	0.718095	0.281905	4.322034
282	-2699.719	-3318.069	618.3499	1.391873	1.392808	0.655277	0.344723	5.586312
288	-2682.117	-3300.946	618.8291	1.332101	1.337542	0.640775	0.359225	5.379564
294	-2685.1	-3306	620.8997	1.686495	1.658081	0.633024	0.366976	3.886447
300	-2690.065	-3311.021	620.9563	1.758285	1.751843	0.730492	0.269508	3.776748
306	-2683.236	-3303.708	620.4719	1.699467	2.055792	0.691084	0.308916	3.981988
312	-2673.964	-3294.199	620.2357	1.533699	1.5042	0.699907	0.300093	4.412554
318	-2666.384	-3286.212	619.8276	1.539364	1.324796	0.750084	0.249916	4.715987
324	-2657.833	-3276.112	618.2792	1.542706	1.521785	0.655597	0.344403	5.48904
330	-2680.681	-3300.132	619.4507	1.339219	1.320131	0.667353	0.332647	5.039609
336	-2679.941	-3297.612	617.6711	1.372532	1.568889	0.618812	0.381188	5.897153
342	-2667.112	-3287.48	620.3673	1.458076	1.401543	0.754173	0.245827	4.424599
348	-2662.199	-3282.734	620.5353	1.592819	1.338752	0.743811	0.256189	4.28148
354	-2651.206	-3271.604	620.3981	1.599959	1.508757	0.636091	0.363909	4.28148
360	-2673.166	-3294.938	621.7724	1.709528	1.36939	0.636091	0.363909	3.490235
366	-2665.476	-3286.81	621.3339	1.684106	1.117459	0.636091	0.363909	3.882539
372	-2673.758	-3294.648	620.8896	1.693841	1.58333	0.678169	0.321831	3.917639
378	-2672.158	-3292.962	620.8034	1.688123	1.325291	0.623226	0.376774	4.081277
